LCSC Part Number,Quantity,Comment
C2913204,5,ESP32-S3-WROOM-1-N8R2
C967633,7,LSM6DS3TR-C IMU (2 spares - LGA hand soldering)
C82942,10,ME6211C33M5G-N LDO
C155601,6,ST25DV04K-IER6S3 NFC (subst for ST25DV04KC)
C7519,10,USBLC6-2SC6 ESD
C15127,10,AO3401A P-FET
C70377,6,CR2032-BS-6-1 holder
C165948,8,TYPE-C-31-M-12 USB-C
C318884,15,TS-1187A buttons (BOOT+RESET x5 + spares)
C431540,8,MSK12C02 slide switch
C14663,100,100nF 0603 (30 needed)
C128624,50,1uF 0603 (10 needed)
C15850,20,10uF 0805 (5 needed)
C45783,20,22uF 0805 (10 needed)
C28262,50,68pF C0G 0603 (5 needed - NFC tuning)
C2286,200,Red LED 0603 (120 needed - spares for hand soldering)
C22962,100,220R 0603 (30 needed)
C23186,100,5.1k 0603 (10 needed)
C25804,100,10k 0603 (10 needed)
C23162,100,4.7k 0603 (10 needed)
C25803,100,100k 0603 (10 needed)
