Comment,Designator,Footprint,LCSC Part #
"ESP32-S3-WROOM-1-N8R2 (C2913204 is the N8R2 variant; pick an N16R8 ID at order if the bigger memory is wanted)",U1,WIRELM-SMD_ESP32-S3-WROOM-1,C2913204
"LSM6DS3TR-C IMU (LGA-14 0.5mm pitch - stencil + hot plate strongly advised)",U2,LGA-14_L3.0-W2.5-P0.50-TL,C967633
"ME6211C33M5G-N 3.3V 500mA LDO (VBUS -> +3V3)",U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,C82942
"ST25DV04K-IER6S3 NFC tag (subst for ST25DV04KC-IE6S3/C3304276 which is near end-of-stock; same SO-8, same pinout, same I2C/NFC function)",U4,SO-8_L4.9-W3.9-P1.27-LS5.9-BL,C155601
"USBLC6-2SC6 ESD array on USB_DP/USB_DM",U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519
"AO3401A P-FET (isolates coin cell while VBUS present)",Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C15127
"CR2032-BS-6-1 holder (battery itself not included - buy a CR2032 cell separately)",BT1,BAT-TH_CR2032-BS-6-1,C70377
"USB-C receptacle TYPE-C-31-M-12 16P (power + USB2 data)",J2,USB-C_SMD-TYPE-C-31-M-12_1,C165948
"TS-1187A tact (BOOT)",SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
"TS-1187A tact (RESET)",SW2,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
"SPDT slide switch MSK12C02 (8x2.8mm, right-angle, 4 shield tabs + 2x0.85mm NPTH) - POWER on/off, in series with coin cell + terminal",SW3,SW_SPDT_Shouhan_MSK12C02,C431540
"100nF 0603 X7R 50V",C1,C0603,C14663
"100nF 0603 X7R 50V",C2,C0603,C14663
"100nF 0603 X7R 50V",C3,C0603,C14663
"100nF 0603 X7R 50V",C4,C0603,C14663
"100nF 0603 X7R 50V",C5,C0603,C14663
"1uF 0603 X5R 50V (LDO VIN; subst for C15849 which showed zero assembly stock)",C6,C0603,C128624
"1uF 0603 X5R 50V (LDO VOUT; subst for C15849 which showed zero assembly stock)",C7,C0603,C128624
"10uF 0805 X5R 25V",C8,C0805,C15850
"22uF 0805 X5R 25V",C9,C0805,C45783
"22uF 0805 X5R 25V (schematic corrected to 22uF in v2.3; consider 1206/100uF next rev for extra WiFi-burst headroom)",C10,C0805,C45783
"100nF 0603 X7R 50V",C11,C0603,C14663
"68pF C0G 50V 0603 (NFC tuning; design target 62pF, 56-68pF window - verify with VNA after assembly and swap if needed)",C12,C0603,C28262
"Red LED 0603 KT-0603R (front face, 24x)",D1,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D2,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D3,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D4,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D5,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D6,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D7,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D8,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D9,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D10,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D11,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D12,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D13,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D14,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D15,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D16,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D17,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D18,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D19,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D20,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D21,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D22,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D23,LED-SMD_L1.6-W0.8-R-RD,C2286
"Red LED 0603 KT-0603R",D24,LED-SMD_L1.6-W0.8-R-RD,C2286
"220R 0603 (charlieplex)",R1,R0603,C22962
"220R 0603 (charlieplex)",R2,R0603,C22962
"220R 0603 (charlieplex)",R3,R0603,C22962
"220R 0603 (charlieplex)",R4,R0603,C22962
"220R 0603 (charlieplex)",R5,R0603,C22962
"220R 0603 (charlieplex)",R6,R0603,C22962
"5.1k 0603 (USB-C CC1 pulldown, Rd)",R7,R0603,C23186
"5.1k 0603 (USB-C CC2 pulldown, Rd)",R8,R0603,C23186
"10k 0603 (EN pull-up)",R9,R0603,C25804
"10k 0603 (IO0/BOOT pull-up)",R10,R0603,C25804
"4.7k 0603 (I2C SDA pull-up)",R11,R0603,C23162
"4.7k 0603 (I2C SCL pull-up)",R12,R0603,C23162
"100k 0603 (Q1 gate pulldown)",R13,R0603,C25803
"100k 0603 (NFC_GPO pull)",R14,R0603,C25803
