Designator,Mid X,Mid Y,Layer,Rotation
BT1,62.0000,-28.0000,Bottom,0.0000
C1,21.0000,-16.5000,Bottom,0.0000
C2,20.5000,-35.2500,Bottom,-90.0000
C3,44.0000,-17.0000,Bottom,90.0000
C4,44.0000,-22.0000,Bottom,90.0000
C5,25.5000,-9.5000,Bottom,0.0000
C6,73.0000,-8.0000,Bottom,90.0000
C7,79.0000,-8.0000,Bottom,90.0000
C8,44.0000,-27.0000,Bottom,90.0000
C9,73.4550,-4.5000,Bottom,0.0000
C10,80.0000,-4.5000,Bottom,0.0000
C11,10.8000,-8.0000,Bottom,90.0000
C12,10.9000,-12.9000,Bottom,0.0000
J2,81.7000,-14.5000,Bottom,-90.0000
Q1,80.6000,-21.5000,Bottom,0.0000
R1,8.0000,-4.5000,Bottom,0.0000
R2,14.5450,-4.5000,Bottom,0.0000
R3,21.0910,-4.5000,Bottom,0.0000
R4,27.6360,-4.5000,Bottom,0.0000
R5,34.1820,-4.5000,Bottom,0.0000
R6,40.7270,-4.5000,Bottom,0.0000
R7,76.8000,-12.2000,Bottom,0.0000
R8,76.8000,-16.8000,Bottom,-90.0000
R9,47.2730,-4.5000,Bottom,0.0000
R10,53.8180,-4.5000,Bottom,0.0000
R11,60.3640,-4.5000,Bottom,0.0000
R12,66.9090,-4.5000,Bottom,0.0000
R13,83.6000,-21.9000,Bottom,-90.0000
R14,62.0000,-51.9000,Bottom,0.0000
SW1,12.0000,-47.3000,Bottom,0.0000
SW2,24.0000,-47.3000,Bottom,0.0000
SW3,81.4550,-28.0000,Bottom,-90.0000
U1,32.0000,-27.0000,Bottom,0.0000
U2,21.5000,-9.5000,Bottom,0.0000
U3,76.0000,-8.0000,Bottom,-90.0000
U4,6.2000,-9.6000,Bottom,0.0000
U5,73.5000,-17.0000,Bottom,-90.0000
D1,17.0000,-11.0000,Top,0.0000
D2,17.0000,-17.4000,Top,0.0000
D3,17.0000,-23.8000,Top,0.0000
D4,17.0000,-30.2000,Top,0.0000
D5,17.0000,-36.6000,Top,0.0000
D6,17.0000,-43.0000,Top,0.0000
D7,42.8000,-7.0000,Top,0.0000
D8,42.8000,-12.7140,Top,0.0000
D9,42.8000,-18.4290,Top,0.0000
D10,42.8000,-24.1430,Top,0.0000
D11,42.8000,-29.8570,Top,0.0000
D12,42.8000,-35.5710,Top,0.0000
D13,42.8000,-41.2860,Top,0.0000
D14,42.8000,-47.0000,Top,0.0000
D15,68.6000,-5.0000,Top,0.0000
D16,68.6000,-9.8890,Top,0.0000
D17,68.6000,-14.7780,Top,0.0000
D18,68.6000,-19.6670,Top,0.0000
D19,68.6000,-24.5560,Top,0.0000
D20,68.6000,-29.4440,Top,0.0000
D21,68.6000,-34.3330,Top,0.0000
D22,68.6000,-39.2220,Top,0.0000
D23,68.6000,-44.1110,Top,0.0000
D24,68.6000,-49.0000,Top,0.0000
